"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1973931003464077396","Fri Oct 03 01:59:59 +0000 2025","1","Tinggi Kandungan Etanol Vivo dan AKR Batal Beli BBM Pertamina https://t.co/RPScoiLpYP Terbongkar Kejahatan Pertamina Alhamdulillah","1973931003464077396","","","in","","0","0","1","https://x.com/undefined/status/1973931003464077396","907415343299096577",
"1973927043768463452","Fri Oct 03 01:44:15 +0000 2025","0","BP dan Vivo membatalkan pembelian BBM dari Pertamina karena kandungan etanol mencapai 3 5 %. Apa konsekuensi bagi mesin kendaraan? https://t.co/dPi6nuiYEg","1973927043768463452","","","in","","0","0","5","https://x.com/undefined/status/1973927043768463452","1545636853214507008",
"1973926510282383706","Fri Oct 03 01:42:08 +0000 2025","1","Alasan 3 SPBU Asing Batal Beli BBM Pertamina Buka Suara Soal Kandungan Etanol https://t.co/mPJhSJunmc","1973926510282383706","","","in","","0","0","1","https://x.com/undefined/status/1973926510282383706","509946051",
"1973693639235920277","Thu Oct 02 10:16:47 +0000 2025","2","Penjelasan Pertamina soal Kandungan Etanol di BBM https://t.co/yfHF00qKET","1973693639235920277","","","in","","0","1","0","https://x.com/undefined/status/1973693639235920277","135795460",
"1973618902669337025","Thu Oct 02 10:06:51 +0000 2025","2","@darwis_ginting @msaid_didu Berdasarkan laporan terbaru dari Pertamina dan RDP dengan DPR Shell BP-AKR dan Vivo batal beli base fuel karena kandungan etanol 3 5% yang tidak sesuai standar mereka. Shell juga terkendala prosedur birokrasi internal.","1973691136721240455","","darwis_ginting","in","","0","0","0","https://x.com/undefined/status/1973691136721240455","1720665183188922368",
"1973691122154430489","Thu Oct 02 10:06:47 +0000 2025","0","Swasta Batal Beli BBM Karena Kandungan Etanol Ini Respons Pertamina https://t.co/IFuazmHWPE","1973691122154430489","","","in","","0","0","0","https://x.com/undefined/status/1973691122154430489","847372542830444544",
"1973680261402660907","Thu Oct 02 09:23:38 +0000 2025","0","Dua operator SPBU swasta PT Vivo Energy Indonesia dan BP-AKR membatalkan kesepakatan pembelian 100 ribu barel base fuel dari Pertamina karena kandungan etanol sebesar 3 5 persen dalam produk tersebut Selengkapnya di https://t.co/7kKhMmEnfd https://t.co/myLKpemkvt","1973680261402660907","https://pbs.twimg.com/media/G2PrmISbwAEfW9E.jpg","","in","","0","0","0","https://x.com/undefined/status/1973680261402660907","1382213818370039808",
"1973626370703188186","Thu Oct 02 08:49:15 +0000 2025","0","@iwankecil @RadioElshinta Ya kandungan etanol dalam BBM memang cenderung meningkat ke depannya untuk alasan lingkungan seperti di F1 yang sudah pakai E10 (10%) dan rencana 2026 ke bahan bakar 100% berkelanjutan dengan komponen bio lebih tinggi. Etanol bisa baik untuk mesin: octane tinggi emisi lebih","1973671609354645886","","iwankecil","in","","0","1","0","https://x.com/undefined/status/1973671609354645886","1720665183188922368",
"1973671542795202834","Thu Oct 02 08:48:59 +0000 2025","0","Shell Cs Batal Beli BBM Gegara Kandungan Etanol Ini Penjelasan Pertamina https://t.co/yELznKbN2M","1973671542795202834","","","in","","0","0","0","https://x.com/undefined/status/1973671542795202834","47274731",
"1973334300587335873","Thu Oct 02 08:28:31 +0000 2025","0","@starlabs557 @BigAlphaID Seberapa tinggi seh kandungan Etanol di BBM yg beredar? Pertamax Green aja baru 5 %.. Dan Hampir semua Kendaraan itu dapat memakai sampai BBM Etanol Campuran di angka tersebut. Apalagi semua Produk Ron 92/95 itu pakai tambahan aditif yg bisa meminimalisir efek","1973666391665549357","","starlabs557","in","","0","1","0","https://x.com/undefined/status/1973666391665549357","2148483312",
"1973626370703188186","Thu Oct 02 08:24:10 +0000 2025","0","@RadioElshinta Permasalahan nya kandungan etanol tapi kenapa komennya pertamina sudah menyisihkan stok BBM RON 92 dan 98 ?","1973665295593251047","","RadioElshinta","in","","0","0","0","https://x.com/undefined/status/1973665295593251047","50126213",
"1973661082607821010","Thu Oct 02 08:07:25 +0000 2025","345","SPBU swasta kompak batal beli BBM dari Pertamina karena kandungan tak sesuai... Ada kandungan ETANOL BBM Pertamina....! Kurang ajar ini.... https://t.co/GX1q4KtwFW","1973661082607821010","https://pbs.twimg.com/ext_tw_video_thumb/1973661022725742595/pu/img/iy3agiRpGJVTTfNF.jpg","","in","","13","36","172","https://x.com/undefined/status/1973661082607821010","1296312516901916672",
"1973334300587335873","Thu Oct 02 08:02:06 +0000 2025","0","@yono_1977 @BigAlphaID Ya di Indonesia berapa persen kendaraan yang gak bermasalah dengan kandungan etanol tinggi? Belum lg bicara di atas kertas bisa aja memenuhi spesifikasi A B C tapi gak serta merta menghilangkan potensi terkena korosi karena kandungan etanol tinggi.","1973659742863278442","","yono_1977","in","","0","1","0","https://x.com/undefined/status/1973659742863278442","818529980",
"1973655989225468235","Thu Oct 02 07:47:11 +0000 2025","0","https://t.co/50tMT0Bn7v Rencana kolaborasi antara Pertamina dan SPBU swasta seperti VIVO Energy dan APR untuk pemenuhan stok BBM gagal terwujud karena adanya kandungan etanol sebesar 3 5% dalam base fuel Pertamina meskipun masih dalam batas aman regulasi.","1973655989225468235","","","in","","0","0","0","https://x.com/undefined/status/1973655989225468235","1656562862201122817",
"1973538424238854400","Thu Oct 02 07:46:16 +0000 2025","0","@KelonMusk3 @ARSIPAJA Menurut regulasi Indonesia kandungan etanol hingga 20% diperbolehkan di BBM jadi 3 5% secara hukum wajar. Namun untuk base fuel impor biasanya diharapkan minim etanol karena blending dilakukan kemudian. Hal ini jadi alasan Vivo dan BP batal beli dari Pertamina mungkin karena","1973655760052822130","","KelonMusk3","in","","0","0","0","https://x.com/undefined/status/1973655760052822130","1720665183188922368",
"1973655596420465138","Thu Oct 02 07:45:37 +0000 2025","1","JAKARTA Dua perusahaan Stasiun Pengisian Bahan Bakar Umum (SPBU) swasta yaitu Vivo Energy Indonesia dan BP-AKR dikabarkan membatalkan rencana pembelian base fuel BBM dari Pertamina. Keputusan ini muncul setelah adanya temuan kandungan etanol sebesar 3 5 persen https://t.co/FtyvjI79uM","1973655596420465138","https://pbs.twimg.com/amplify_video_thumb/1973655508893704199/img/QAD747nhFQ2xPwIE.jpg","","in","","0","0","0","https://x.com/undefined/status/1973655596420465138","782227850698960896",
